ind_Latn,sun_Latn
Museum Nasional juga dikenal sebagai Museum Gajah karena dihadiahkannya patung gajah berbahan perunggu oleh Raja Chulalongkorn dari Thailand pada tahun 1871 yang kemudian dipasang di halaman depan museum.,Museum Nasional kawentar disebut Museum Gajah karana meunang hadiha patung gajah bahan parunggu ti Raja Chulalongkorn Thailand taun 1871 anu tuluy dipasang di hareupeun museum.
"Meskipun demikian, sejak 28 Mei 1979, nama resmi lembaga ini adalah Museum Nasional Republik Indonesia.","Sanajan kitu, mimiti 28 Mei 1979, ngaran resmi lembaga ieu Museum Nasional Republik Indonesia."
Raja Wretikandayun adalah Raja pertama di Kerajaan Galuh yang memerintah di Kerajaan Galuh dengan gelar Maharaja Suradarma Jayaprakosa dari tahun 612 Masehi sampai 702 Masehi sebagai kelanjutan dari Kerajaan Kendan masih bawahan kerajaan Tarumanagara.,Raja Wretikandayun ngarupakeun raja kahiji Kerajaan Galuh anu maréntah di Kerajaan Galuh gumelar Maharaja Suradarma Jayaprakosa ti mimiti taun 612 Masehi dugi ka 702 Masehi minangka panerus Karajaan Kendan bawahan Karajaan Tarumanagara.
"Maharaja Suradarma Wretikandayun memerdekakan Kerajaan Galuh saat Sri Maharaja Tarusbawa tahun 670 mengganti nama Tarumanagara menjadi Kerajaan Sunda setelah menerima tahta Kerajaan Tarumanagara pada tahun 669 M, dari mertuanya, raja Tarumanagara terakhir, Linggawarman (666-669) M.","Maharaja Suradarma Wretikandayun ngamerdékakeun Karajaan Galuh mangsa Sri Maharaja Tarusbawa taun 670 ngaganti ngaran Tarumanagara jadi Karajaan Sunda sebada narima tahta Karajaan Tarumanagara taun 669 M, ti mitohana, raja Tarumanagara pangahirna, Maharaja Linggawarman (666-669) M."
Peta Kerajaan Sunda dan Kerajaan Galuh.,Peta Karajaan Sunda jeung Karajaan Galuh.
Namanya Wretikandayun putra Raja Kandiawan putra Raja Putra Suraliman putra Raja Maha Guru Manikmaya.,Ngaran Wretikandayun putra Raja Kandiawan putra Raja Putra Suraliman putra Raja Maha Guru Manikmaya.
"Wretikandayun (nama masih kanak-kanak sang Amara), Raden Daniswara (dani = kerbau) lahir 0513 Caka (0619 Masehi), usia 21 – 111 tahun.","Wretikandayun (ngaran keur leutik sang Amara), Radén Daniswara (dani = munding) lahir 0513 Caka (0619 Maséhi), umur 21 – 111 taun."
"Dari garis ibu, Buyutnya raja Maharesiguru Manikmaya adalah menantu Maharaja Suryawarman, penguasa ke-7 Tarumanagara (535-561 M), menikahi Dewi Tirtakancana, putrinya.","Dari indungna, Buyutnya raja Maharesiguru Manikmaya adalah menantu Maharaja Suryawarman, penguasa ke-7 Tarumanagara (535-561 M), menikahi Dewi Tirtakancana, putrinya."
"Syaikh Muhammad Nawawi al-Jawi al-Bantani (bahasa Arab: محمد نووي الجاوي البنتني, lahir di Tanara, Serang, 1230 H/1813 M - meninggal di Mekkah, 1314 H/1897 M) adalah seorang ulama Indonesia yang terkenal di mancanegara (ulama Indonesia bertaraf internasional) dan Imam Masjidil Haram.","Syekh Muhammad Nawawi al-Jawi al-Bantani (bahasa Arab: محمد نووي الجاوي البنتني, babar di Tanara, Serang, 1230 H/1813 M - pupus di Mekkah, 1314 H/1897 M) ngarupakeun ulama Sunda Indonesia nu kakoncara ka mancanegara (ulama Sunda Indonesia internasional) jeung Imam Masjidil Haram."
"Ia bergelar al-Bantani karena ia berasal dari Banten, Indonesia.","Pangneneh nisbat al-Bantani karana anjeuna ti Banten, Indonesia."
"Ia adalah seorang ulama dan intelektual yang sangat produktif menulis kitab, yang meliputi bidang-bidang fiqih, tauhid, tasawuf, tafsir, dan hadis.","Ulama jeung inohong nu produktif nulis kitab, dina widang fiqih, tauhid, tasawuf, tafsir, jeung hadis."
Jumlah karyanya mencapai tidak kurang dari 115 kitab.,Jumlah karyana kurang leuwih 115 kitab.
"Karena kemasyhurannya, Syekh Nawawi Al-Bantani dijuluki Sayyid Ulama Al-Hijaz (Pemimpin 'Ulama Hijaz), Al-Imam Al-Muhaqqiq wa Al-Fahhamah Al-Mudaqqiq (Imam yang Mumpuni ilmunya), A’yan Ulama Al-Qarn Al-Ram Asyar li Al-Hijrah (Tokoh 'Ulama Abad 14 H), Imam Ulama’ Al-Haramain (Imam 'Ulama Dua Kota Suci).","Kukituna Syekh Nawawi Al-Bantani dileler gelar Sayyid Ulama Al-Hijaz (Pamingpin 'Ulama Hijaz), Al-Imam Al-Muhaqqiq wa Al-Fahhamah Al-Mudaqqiq (Imam Nu Jero elmuna), A’yan Ulama Al-Qarn Al-Ram Asyar li Al-Hijrah (Tokoh 'Ulama Abad 14 H), Imam Ulama’ Al-Haramain (Imam 'Ulama Dua Kota Suci)."
Kelahiran,Babar
"Lahir dengan nama Abû Abdul Mu’ti Muhammad Nawawi bin ‘Umar bin ‘Arabi. Ulama besar ini hidup dalam tradisi keagamaan yang sangat kuat. Ulama yang lahir di Kampung Tanara, sebuah desa kecil di kecamatan Tirtayasa, Kabupaten Serang, Propinsi Banten (Sekarang di Kampung Pesisir, desa Pedaleman, Tanara, Serang Kecamatan Tanara, Serang depan Mesjid Jami’ Syaikh Nawawi Bantani) pada tahun 1230 H atau 1815 M ini bernasab kepada keturunan Maulana Hasanuddin Putra Sunan Gunung Jati, Cirebon.","Dibabarkeun kalayan asma Muhammad Nawawi bin ‘Umar bin ‘Arabi di Kampung Tanara, hiji désa di kacamatan Tirtayasa, Kabupatén Sérang, Propinsi Banten (kiwari di Kampung Pesisir, désa Pedaleman, Tanara, Sérang Kecamatan Tanara, Sérang payun Masjid Jami’ Syékh Nawawi Al-Bantani) taun 1230 H atawa 1815 M nasabna ka Maulana Hasanuddin Putra Sunan Gunung Jati, Cirebon."
Keturunan ke-12 dari Sultan Banten.,Turunan ka-12 ti Sultan Banten.
Nasabnya melalui jalur ini sampai kepada Baginda Nabi Muhammad saw.,"Ramana , ‘Umar bin ‘Arabi, ibuna Zubaédah."
"Melalui keturunan Maulana Hasanuddin yakni Pangeran Suniararas, yang makamnya hanya berjarak 500 meter dari bekas kediaman dia di Tanara, nasab Ahlul Bait sampai ke Syaikh Nawawi.","Syaikh Nawawi al-Bantani al-Jawi nikah sareng Nyai Nasimah, gadis asal Tanara, Banten gaduh putra 3 nyaéta: Nafisah, Maryam, Rubi’ah."
"Ayahnya seorang Ulama Banten, ‘Umar bin ‘Arabi, ibunya bernama Zubaedah.",Bojona pupus mayunan anjeuna.
"Syaikh Achmad Khotib Al-Syambasi ( 1217 H/1802 M - 1289 H/1872 M), Syaikh Abdul Ghani Bima, Syaikh Yusuf Sumbulaweni, Syaikh Abdul Hamîd Daghestani, Syaikh Sayyid Ahmad Nahrawi, Syaikh Ahmad Dimyati, Syaikh Ahmad Zaini Dahlan, Syaikh Muhammad Khatib Hambali, dan Syaikh Junaid Al-Betawi di Mekah, serta 2 ulama besar Medinah, yaitu: Syaikh Muhammad Khatib.","Syékh Achmad Khotib Al-Syambasi ( 1217 H/1802 M - 1289 H/1872 M), Syékh Abdul Ghoni Bima, Syékh Yusuf Sumbulawéni, Syékh Abdul Hamîd Daghéstani, Syékh Sayyid Ahmad Nahrowi, Syékh Ahmad Dimyati, Syékh Ahmad Zaéni Dahlan, Syékh Muhammad Khotib Hambali, jeung Syékh Junéd Al-Batawi di Mekah, sarta ulama Madinah, nyaéta: Syékh Muhammad Khotib."
"Tapi guru yang paling berpengaruh adalah Syaikh Sayyid Ahmad Nahrawi, Syaikh Junaid Al-Betawi dan Syaikh Ahmad Dimyati, ulama terkemuka di Mekah.","Tapi guru nu gedé pangaruhna nyaéta Syékh Sayyid Ahmad Nahrowi, Syékh Junéd Al-Betawi dan Syékh Ahmad Dimyati, ulama kasohor di Mekah."
Lewat ketiga Syaikh inilah karakter dia terbentuk.,Liwat tilu Syékh ieu karakterna masagi.
"Selain itu juga ada dua ulama lain yang berperan besar mengubah alam pikirannya, yaitu Syaikh Muhammad Khatib dan Syaikh Ahmad Zaini Dahlan, ulama besar di Medinah.","Ogé dua ulama kasohor Madinah dina widang pamikiran, nyaéta Syékh Muhammad Khotib dan Syékh Ahmad Zaéni Dahlan."
Nasionalisme dan Gelar-Gelar,Nasionalisme jeung Masjidil Harom
"Tiga tahun bermukim di Mekah, dia pulang ke Banten.","Tiga taun mukim di Mekah, tuluy balik deui ka Banten."
"Sampai di tanah air dia menyaksikan praktik-praktik ketidakadilan, kesewenang-wenangan dan penindasan dari Pemerintah Hindia Belanda.","Pamaréntah Hindia Walanda keur meuweuh nindas rahayat, umat Islam."
"Ia melihat itu semua lantaran kebodohan yang masih menyelimuti umat. Tak ayal, gelora jihadpun berkobar.",Teu kalékéd anjeuna nguriling di Banten ngagedurkeun sumanget jihad.
Dia keliling Banten mengobarkan perlawanan terhadap penjajah. Tentu saja Pemerintah Belanda membatasi gara-geriknya. Dia dilarang berkhutbah di masjid-masjid.,Tangtu waé pamaréntah Walanda ngalarang anjeuna khutbah di masigit-masigit.
Bahkan belakangan dia dituduh sebagai pengikut Pangeran Diponegoro yang ketika itu memang sedang mengobarkan perlawanan terhadap penjajahan Belanda (1825- 1830 M).,Malihan dituduh anték Pangeran Diponegoro nu harita keur ngalawan ka imperialis Walanda (1825- 1830 M).
"Sebagai intelektual yang memiliki komitmen tinggi terhadap prinsip-prinsip keadilan dan kebenaran, apa boleh buat Syaikh Nawawi terpaksa menyingkir ke Negeri Mekah, tepat ketika perlawanan Pangeran Diponegoro padam pada tahun 1830 M. Ulama Besar ini pada masa mudanya juga menularkan semangat Nasionalisme dan Patriotisme di kalangan Rakyat Indonesia. Begitulah pengakuan Snouck Hourgronje. Begitu sampai di Mekah dia segera kembali memperdalam ilmu agama kepada guru-gurunya.","Minangka inohong anu merjuangkeun kaadilan jeung bebeneran, kapaksa Syékh Nawawi nyingkir ka Mekah."
"Dia tekun belajar selama 30 tahun, sejak tahun 1830 hingga 1860 M. Ketika itu memang dia berketepatan hati untuk mukim di tanah suci, satu dan lain hal untuk menghindari tekanan kaum penjajah Belanda. Nama dia mulai masyhur ketika menetap di Syi'ib ‘Ali, Mekah. Dia mengajar di halaman rumahnya.","Di Mekah anjeuna neuleuman élmu agama ka guru-guruna salila 30 tahun, mimiti 1830 dugi 1860 M. Dumuk di Syi'ib ‘Ali, Mekah tur ngajar di payuneun bumina."
"Mula-mula muridnya cuma puluhan, tapi makin lama makin jumlahnya kian banyak. Mereka datang dari berbagai penjuru dunia. Maka jadilah Syaikh Nawawi al-Bantani al-Jawi sebagai ulama yang dikenal piawai dalam ilmu agama, terutama tentang tauhid, fiqih, tafsir, dan tasawwuf.","Muridna seueur ti unggal madhab saantéro dunya kukituna Syékh Nawawi al-Bantani jadi ulama kawentar dina widang agama, utamana tauhid, fiqih, tafsir, dan tasawwuf."
"Nama Syekh Nawawi Al-Bantani (1230-1314 H / 1815-1897 M) semakin melejit ketika dia ditunjuk sebagai pengganti Imam Masjidil Haram, Syaikh Achmad Khotib Al-Syambasi ( 1217 H/1802 M - 1289 H/1872 M) atau Syekh Ahmad Khatib Al-Minangkabawi (1276-1334 H/ 1860-1916 M).","Beuki kakoncara sabada ditunjuk gaganti Syekh Imam Masjidil Harom, Syékh Achmad Khotib Al-Syambasi ( 1217 H/1802 M - 1289 H/1872 M) ."
"Sejak itulah dia dikenal dengan nama resmi Syaikh Nawawi al-Bantani al-Jawi.’ Artinya Nawawi dari Banten, Jawa. Piawai dalam ilmu agama, masyhur sebagai ulama.","Ti mimiti harita nelah Syékh Nawawi al-Bantani al-Jawi, ulama nu nyongcolang dina élmu agama, kamasyhur ka mana-mana."
"Tidak hanya di kota Mekah dan Medinah saja dia dikenal, bahkan di negeri Mesir nama dia masyhur di sana. Itulah sebabnya ketika Indonesia memproklamirkan kemerdekaannya. Mesir negara yang pertama-tama mendukung atas kemerdekaan Indonesia.","Lain hungkul di kota Mekah jeung Madinah tapi ogé tepi ka nagri Mesir malihan nalika Indonesia mardéka, Mesir nagara nu pangheulana ngadukung Indonesia mardéka."
"Dari beberapa pertemuan dengan Syaikh Nawawi, Orientalis Belanda itu mengambil beberapa kesimpulan. Menurutnya, Syaikh Nawawi adalah Ulama yang ilmunya dalam, rendah hati, tidak congkak, bersedia berkorban demi kepentingan agama dan bangsa.","Sanajan luhur ku élmu Syékh Nawawi, ceuk Snouk Oréntalis Walanda Syékh Nawawi ngarupakeun ulama handap asor, teu adigung sadia korban keur agama tur bangsa."
"Banyak murid-muridnya yang di belakang hari menjadi ulama besar, misalnya:","Murid-muridna jadi ulama kasohor, diantarana:"
"Konon, K.H. Hasyim Asyari saat mengajar santri-santrinya di Pesantren Tebu Ireng sering menangis jika membaca kitab fiqih Fath al-Qarîb yang dikarang oleh Syaikh Nawawi.","Kacarita, K.H. Hasyim Asyari nalika keur ngajar santri-santrina di Pasantrén Tebu Ireng sok rembay cipanon ngawulang Kitab Fiqih Fath al-Qorîb anggitan guruna, Syékh Nawawi."
Kenangan terhadap gurunya itu amat mendalam di hati K.H. Hasyim Asyari hingga haru tak kuasa ditahannya setiap kali baris Fath al-Qarib ia ajarkan pada santri-santrinya.,Jigana haté K.H. Hasyim Asyari émut nyoréang ka tukang nalika nyukcruk élmu dugi teu kiat nahan katineung ka guruna ditahan dina sela-sela baris Fath al-Qarib nu diajarkeun ka santri-santrina.
"Berkat kepakarannya, dia mendapat bermacam-macam gelar. Di antaranya yang diberikan oleh Snouck Hourgronje, yang menggelarinya sebagai Doktor Ketuhanan. Kalangan Intelektual masa itu juga menggelarinya sebagai al-Imam wa al-Fahm al-Mudaqqiq (Tokoh dan pakar dengan pemahaman yang sangat mendalam).","Doktor Ketuhanan. al-Imam wa al-Fahm al-Mudaqqiq (Imam anu jero élmuna). al-Sayyid al-‘Ulama al-Hijâz (Inohong Ulama Hijaz , Hijaz nyaéta Jazirah Arab kiwari Saudi Arabia."
Syaikh Nawawi bahkan juga mendapat gelar yang luar biasa sebagaia al-Sayyid al-‘Ulama al-Hijâz (Tokoh Ulama Hijaz). Yang dimaksud dengan Hijaz ialah Jazirah Arab yang sekarang ini disebut Saudi Arabia. Sementara para Ulama Indonesia menggelarinya sebagai Bapak Kitab Kuning Indonesia.,Ulama Indonesia masihan jujuluk Bapak Kitab Kuning Indonesia.
Karya-Karya dan Karamah,Karya-Karya jeung Karomahna
"Ulama asal Mesir, Syaikh 'Umar 'Abdul Jabbâr dalam kitabnya ""al-Durûs min Mâdhi al-Ta’lîm wa Hadlirih bi al-Masjidil al-Harâm” (beberapa kajian masa lalu dan masa kini tentang Pendidikan Masa kini di Masjidil Haram) menulis bahwa Syaikh Nawawi sangat produktif menulis hingga karyanya mencapai seratus judul lebih, meliputi berbagai disiplin ilmu. Banyak pula karyanya yang berupa syarah atau komentar terhadap kitab-kitab klasik. Sebagian dari karya-karya Syaikh Nawawi di antaranya adalah sebagai berikut:","Ulama asal Mesir, Syaikh 'Umar 'Abdul Jabbâr dina kitabna ""al-Durûs min Mâdhi al-Ta’lîm wa Hadlirih bi al-Masjidil al-Harâm” (Sababaraha palajaran ti bihari jeung kiwari Pangatikan di Masjidil Haram) nulis yén Syékh Nawawi kacida produktifna saratus judul leuwih dina rupa-rupa widang élmu:"
Karamah,Karomah
Telah menjadi kebijakan Pemerintah Arab Saudi bahwa orang yang telah dikubur selama setahun kuburannya harus digali. Tulang belulang si mayat kemudian diambil dan disatukan dengan tulang belulang mayat lainnya. Selanjutnya semua tulang itu dikuburkan di tempat lain di luar kota.,Kawijakan pamaréntah Arab Saudi yén nu dikubur salila sataun tulang-tulang si mayit dicokot terus dikubur di luar kota.
"Lubang kubur yang dibongkar dibiarkan tetap terbuka hingga datang jenazah berikutnya terus silih berganti. Kebijakan ini dijalankan tanpa pandang bulu. Siapapun dia, pejabat atau orang biasa, saudagar kaya atau orang miskin, sama terkena kebijakan tersebut.","Tanpa pilih kasih naha pajabat atawa jalma biasa, kaya atawa miskin, disaruakeun."
Inilah yang juga menimpa makam Syaikh Nawawi.,Ieu ogé nu tumiba ka kuburan Syékh Nawawi.
"Setelah kuburnya genap berusia satu tahun, datanglah petugas dari pemerintah kota untuk menggali kuburnya.",Satutasna sataun kuburan anjeuna digali.
Tetapi yang terjadi adalah hal yang tak lazim. Para petugas kuburan itu tak menemukan tulang belulang seperti biasanya. Yang mereka temukan adalah satu jasad yang masih utuh.,Tapi ahéngna para patugas kuburan teu manggihan tulang nu aya jasadna masih beleger.
"Tidak kurang satu apapun, tidak lecet atau tanda-tanda pembusukan seperti lazimnya jenazah yang telah lama dikubur.",Teu kurang sasieur teu lécét-lécét acan.
Bahkan kain putih kafan penutup jasad dia tidak sobek dan tidak lapuk sedikitpun.,Ogé kaén kapan bodas nu nutup jasad teu soéh.
Masa selama 69 tahun mengabdikan dirinya sebagai guru Umat Islam telah memberikan pandangan-pandangan cemerlang atas berbagai masalah umat Islam. Syaikh Nawawi wafat di Mekah pada tanggal 25 syawal 1314 H/ 1897 M. Tapi ada pula yang mencatat tahun wafatnya pada tahun 1316 H/ 1899 M. Makamnya terletak di pekuburan Ma'la di Mekah.,"Syékh Nawawi wafat di Mekah dina tanggal 25 syawal 1314 H/ 1897 M , ogé aya nu nyatet taun wafatnya pada tahun 1316 H/ 1899 M. Makamnya terletak di pekuburan Ma'la di Mekah."
"Badan Penasihatan Pembinaan dan Pelestarian Perkawinan (sekarang) disingkat BP4 adalah Organisasi perkumpulan yang bersifat sosial keagamaan sebagai mitra Kementerian Agama dan instansi terkait lain dalam upaya meningkatkan kualitas perkawinan umat Islam di Indonesia untuk membimbing, membina dan mengayomi keluarga muslimin di seluruh Indonesia.","Badan Penaséhatan Pembinaan dan Pelestarian Perkawinan (ayeuna) disingget BP4 ngarupakeun Organisasi parkumpulan anu sifatna sosial kaagamaan mitra Kamenterian Agama jeung instansi laina dina raraga ningkatkeun kwalitas perkawinan umat Islam di Indonésia pikeun ngabimbing, ngabina jeung ngarumat kulawarga muslimin di Indonesia."
"BP4 berdiri secara resmi pada tanggal 3 Januari 1961 di Jakarta, Indonesia berdasarkan SK Menteri Agama RI No.85 tahun 1961 yang menetapkan kepengurusan BP4.","BP4 ngadeg resmi dina tanggal 3 Januari 1961 di Jakarta, Indonesia dumasar SK Menteri Agama RI No.85 taun 1961 anu netepkeun pangurus BP4."
